entry_threshold,exit_threshold,exit_prob_drop,min_hold_bars,max_hold_seconds,stop_loss_pct,take_profit_pct,profit_trailing_start_pct,profit_trailing_stop_pct,max_spread_bps,disable_prob_exits,trades,wins,pnl,pnl_perc,sharpe,max_drawdown,profit_factor,median_trade,avg_trade,fraction_time_in_position,skipped_spread,skipped_sizing,skipped_other,exit_reasons,coverage
0.64,0.64,0.15,1,5400,0.012,,0.005,,8,True,1051,542,-5.37677914694494,-0.2150711658777976,-1.4783581179704164,12.647555953602684,0.8719466789926312,0.002844667537267683,-0.005115869787768743,0.4179285714285714,144,0,0,"{""time_limit"": 1026, ""stop_loss"": 25}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.012,,0.005,0.0015,8,True,1090,575,-4.054042715709003,-0.16216170862836013,-1.1223703399523157,11.748140750250569,0.9053790237261196,0.005952040231835921,-0.00371930524376973,0.408,172,0,0,"{""profit_trailing"": 158, ""time_limit"": 906, ""stop_loss"": 26}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.012,,0.005,0.0025,8,True,1079,570,-4.785414357109029,-0.19141657428436115,-1.3043205823418396,12.431906042717419,0.8873697020136896,0.006098817837252072,-0.004435045743381868,0.41083035714285715,175,0,0,"{""time_limit"": 930, ""profit_trailing"": 123, ""stop_loss"": 26}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.005,,,,8,True,762,402,-4.094058928816496,-0.16376235715265985,-1.0390334250764104,13.920025207312458,0.9085523962486507,0.009955294654443076,-0.005372780746478351,0.5175580357142857,187,0,0,"{""time_limit"": 566, ""stop_loss"": 196}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.005,,,0.0015,8,True,762,402,-4.094058928816496,-0.16376235715265985,-1.0390334250764104,13.920025207312458,0.9085523962486507,0.009955294654443076,-0.005372780746478351,0.5175580357142857,187,0,0,"{""time_limit"": 566, ""stop_loss"": 196}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.005,,,0.0025,8,True,762,402,-4.094058928816496,-0.16376235715265985,-1.0390334250764104,13.920025207312458,0.9085523962486507,0.009955294654443076,-0.005372780746478351,0.5175580357142857,187,0,0,"{""time_limit"": 566, ""stop_loss"": 196}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.005,,0.003,,8,True,762,402,-4.094058928816496,-0.16376235715265985,-1.0390334250764104,13.920025207312458,0.9085523962486507,0.009955294654443076,-0.005372780746478351,0.5175580357142857,187,0,0,"{""time_limit"": 566, ""stop_loss"": 196}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.005,,0.003,0.0015,8,True,1042,653,-9.315039953460492,-0.37260159813841964,-2.491673307929752,16.35455412250826,0.8175957654729755,0.02350864259544543,-0.008939577690461128,0.4445357142857143,253,0,0,"{""profit_trailing"": 560, ""time_limit"": 244, ""stop_loss"": 238}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.005,,0.003,0.0025,8,True,976,558,-7.559483192759944,-0.30237932771039777,-1.9851770326644804,15.598463771816405,0.8420923264826603,0.011070818046172368,-0.007745372123729459,0.46560267857142856,252,0,0,"{""profit_trailing"": 465, ""time_limit"": 296, ""stop_loss"": 215}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.005,,0.005,,8,True,762,402,-4.094058928816496,-0.16376235715265985,-1.0390334250764104,13.920025207312458,0.9085523962486507,0.009955294654443076,-0.005372780746478351,0.5175580357142857,187,0,0,"{""time_limit"": 566, ""stop_loss"": 196}",0.13733482142857142
